Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.250000,-59.000000,90.000000,top
"C2","10u","C_0805_2012Metric",87.500000,-59.000000,90.000000,top
"C3","10u","C_0805_2012Metric",85.500000,-59.000000,90.000000,top
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.287500,-79.800000,180.000000,top
"C5","10u","C_0805_2012Metric",137.350000,-77.950000,180.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.500000,-85.200000,180.000000,top
"C7","DNP","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.000000,-61.750000,90.000000,top
"C8","15n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.250000,-61.750000,90.000000,top
"C9","10u","C_0805_2012Metric",74.600000,-64.100000,90.000000,top
"C10","10u","C_0805_2012Metric",82.500000,-59.250000,180.000000,top
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.362500,-67.000000,180.000000,top
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.500000,-72.150000,0.000000,top
"C13","10u","C_0805_2012Metric",67.950000,-78.900000,-90.000000,top
"C14","10u","C_0805_2012Metric",66.950000,-81.650000,0.000000,top
"C15","10p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",139.250000,-92.780000,0.000000,top
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",69.700000,-74.012500,90.000000,top
"C17","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.600000,-84.800000,-90.000000,top
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.700000,-72.150000,180.000000,top
"C19","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.400000,-81.200000,-90.000000,top
"C20","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.400000,-97.262500,90.000000,top
"C21","470n","C_0805_2012Metric",75.550000,-77.450000,0.000000,top
"C22","2u2","C_0805_2012Metric",67.100000,-76.100000,180.000000,top
"C24","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.337500,-95.800000,0.000000,top
"C25","10u","C_0805_2012Metric",112.600000,-97.000000,-90.000000,top
"C26","10u","C_0805_2012Metric",114.600000,-97.000000,-90.000000,top
"C27","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.600000,-81.200000,90.000000,top
"C28","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.800000,-92.600000,180.000000,top
"C29","1u-10u?","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.200000,-89.600000,0.000000,top
"C30","47n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",110.600000,-89.250000,90.000000,top
"C31","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.162500,-57.550000,180.000000,top
"C32","10u","C_0805_2012Metric",74.100000,-59.350000,180.000000,top
"C33","10u","C_0805_2012Metric",125.850000,-89.850000,180.000000,top
"C34","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.800000,-88.000000,0.000000,top
"C35","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.200000,-85.600000,-90.000000,top
"C36","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.750000,-90.000000,-90.000000,top
"C37","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.100000,-69.200000,180.000000,top
"C38","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",69.700000,-86.350000,-90.000000,top
"D1","LED_Small","LED_0805_2012Metric",130.600000,-71.287500,90.000000,top
"D2","LED_Small","LED_0805_2012Metric",128.550000,-71.250000,90.000000,top
"D4","LED_Small","LED_0805_2012Metric",117.180000,-60.535000,180.000000,top
"FB2","MH2029-401Y","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.850000,-90.000000,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",146.200000,-64.800000,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",82.250000,-93.400000,90.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",99.000000,-94.000000,90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",111.600000,-84.800000,90.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",85.350000,-88.050000,180.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",73.200000,-95.400000,-90.000000,top
"J6","USB_C_Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",131.500000,-96.810000,0.000000,top
"J7","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",106.600000,-97.600000,-90.000000,top
"J8","RFShield_OnePiece","Wuerth_36103205_20x20mm",72.000000,-79.250000,0.000000,top
"J9","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",147.400000,-86.860000,0.000000,top
"J14","SMA","SMA_Amphenol_901-144_Vertical",55.050000,-75.000000,0.000000,top
"J15","SMA","SMA_Amphenol_901-144_Vertical",144.950000,-75.000000,180.000000,top
"JP1","Jumper_3_Bridged12","PinHeader_1x03_P2.54mm_Vertical",94.940000,-87.600000,-90.000000,top
"L1","L_Small","L_0805_2012Metric",66.050000,-78.900000,-90.000000,top
"Q1","MMBT3904","SOT-23",132.750000,-62.250000,90.000000,top
"Q2","MMBT3904","SOT-23",132.750000,-66.250000,-90.000000,top
"R1","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",90.740000,-84.800000,0.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.250000,-64.250000,-90.000000,top
"R3","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",94.140000,-84.800000,0.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.250000,-64.250000,-90.000000,top
"R5","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",120.800000,-60.600000,180.000000,top
"R7","1Meg","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.600000,-63.200000,-90.000000,top
"R9","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.350000,-74.750000,90.000000,top
"R10","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.750000,-74.750000,90.000000,top
"R11","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.350000,-68.550000,180.000000,top
"R12","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-97.870000,0.000000,top
"R13","2k2","R_0805_2012Metric",76.700000,-74.700000,90.000000,top
"R14","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-96.250000,0.000000,top
"R15","150k","R_0805_2012Metric",74.690000,-74.650000,-90.000000,top
"R16","1Meg","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-94.500000,180.000000,top
"R17","100k","R_0805_2012Metric",72.700000,-74.062500,90.000000,top
"R19","1k","R_0805_2012Metric",75.537500,-79.450000,0.000000,top
"R20","10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",110.400000,-93.400000,-90.000000,top
"RV1","10k","Potentiometer_Bourns_3266W_Vertical",113.225000,-78.000000,180.000000,top
"RV2","10k","Potentiometer_Bourns_3266W_Vertical",120.775000,-93.275000,90.000000,top
"SW1","MCU_RESET","PTS526SK15SMTR2LFS",131.750000,-56.250000,180.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",137.000000,-85.800000,0.000000,top
"U2","ESP32-A1S","ESP32-A1S",90.950000,-58.100000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",80.400000,-64.400000,0.000000,top
"U4","PCA9554APW","TSSOP-16_4.4x5mm_P0.65mm",121.500000,-68.500000,180.000000,top
"U7","MAX9814","DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm",71.200000,-77.650000,0.000000,top
"U8","TS5A63157DBV","SOT-23-6",106.250000,-84.750000,180.000000,top
"U9","TS5A63157DBV","SOT-23-6",107.500000,-89.500000,90.000000,top
"U10","LM386","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",114.250000,-91.250000,-90.000000,top
"U11","TS5A63157DBV","SOT-23-6",66.700000,-85.350000,0.000000,top
"U12","TS5A63157DBV","SOT-23-6",114.200000,-66.200000,-90.000000,top
